pk	pn	lat	lon	link
C1046	Fournoi Magoula	37.434065	23.172668	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1046
C1047	Lambayana Shore	37.433781	23.133845	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1047
C1048	Korita	37.434079	23.145395	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1048
C1049	Bladelet Hill	37.430734	23.137317	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1049
C105	Kambos: Acropolis	36.934762	22.194894	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C105
C1050	Magoula W. Field	37.433836	23.169301	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1050
C1051	Palaiokastro	37.434115	23.154345	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1051
C1052	Magoula E	37.434251	23.173897	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1052
C1053	Fournoi field	37.433719	23.175437	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1053
C1054	Oura	37.431325	23.173065	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1054
C1055	Dhardhitsa	37.432164	23.173094	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1055
C1056	Palaios Milos	37.430318	23.183004	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1056
C1057	North field #1	37.432412	23.17834	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1057
C1058	Visha	37.434815	23.189768	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1058
C1059	Petres	37.434827	23.175606	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1059
C106	Sotirianika	36.971321	22.177936	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C106
C1060	Fournoi Valley #6	37.427086	23.205754	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1060
C1061	Fournoi Valley #9	37.43577	23.211346	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1061
C1062	Fournoi Valley #11	37.430875	23.16357	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1062
C1063	Fournoi Well	37.430441	23.178519	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1063
C1064	House of Dhimitrios Theodhorou	37.430256	23.178809	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1064
C1065	Magoula sta Ilia	37.428412	23.268042	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1065
C1066	Palaikastro (Kastro tou Karakasi)  (Ancient Eileoi)	37.465312	23.277014	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1066
C1067	Kotena Cave	37.46635	23.265842	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1067
C1068	Iliokastro Plateau #1	37.45188	23.279539	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1068
C1069	Iliokastro Plateau #5	37.447431	23.259674	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1069
C107	Verga: Kastraki	37.001261	22.163641	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C107
C1070	Kokkinos Vrakhos	37.398801	23.163315	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1070
C1071	Waste-flake Ridge	37.388128	23.127804	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1071
C1072	Khonia Cave	37.418438	23.111775	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1072
C1073	Lower Dhidhima Sinkhole	37.469233	23.168883	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1073
C1074	Ayios Nikolaos	37.441674	23.122319	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1074
C1075	Fournoi Valley #10	37.439028	23.200678	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1075
C1076	Palaiokastro Orchard	37.434469	23.161979	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1076
C1077	Fournoi: East Gorge	37.42586	23.188695	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1077
C1078	Argive Heraion	37.692134	22.775109	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1078
C1079	Arachnaion: Ayios Ilias	37.64085	22.969439	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1079
C108	Pigadhia: Kokkinochomata	37.001405	22.213877	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C108
C1080	Ayios Leonidhas	37.693031	23.095018	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1080
C1081	Bedeni Kiapha	37.557944	23.171281	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1081
C1082	Mema	37.422008	23.197547	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1082
C1083	Ermioni valley #9	37.411546	23.220071	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1083
C1084	Chalkias: Tholos 2	37.3615	21.86425	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1084
C1085	Portes SW	37.420891	23.196057	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1085
C1086	Asprokhoma	37.427254	23.16851	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1086
C1087	Gavrielides plot	37.438827	23.253902	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1087
C1088	Ayios Ioannis	37.434859	23.231575	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1088
C1089	Gyphtokastro	37.509043	23.103992	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1089
C109	Perivolakia: Sola	37.047865	22.173713	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C109
C1090	Haliki	37.487892	23.465563	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1090
C1091	Kastraki Dimainas	37.710974	23.059341	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1091
C1092	Kastro Choritsa	37.51365	23.244188	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1092
C1093	Ayios Stephanos	36.827094	22.632481	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1093
C1094	Lekas (South)	36.840543	22.626543	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1094
C1095	Lekas: Panayiotis	36.846745	22.624992	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1095
C1096	Xeronisi	36.843886	22.642602	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1096
C1097	Tsasi	36.866682	22.683293	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1097
C1098	Tsasi: Sherd Scatter	36.866879	22.683525	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1098
C1099	Vlakhioti: South-East	36.855631	22.714303	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1099
C110	Kalamata: Tourles	37.047934	22.122287	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C110
C1102	Asteri: Karaousi	36.837394	22.727505	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1102
C1103	Asteri: Cem	36.838096	22.73308	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1103
C1104	Asteri: North	36.851766	22.728381	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1104
C1105	Asteri: Dhragatsoula	36.830838	22.733328	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1105
C1106	Ayios Efstratios	36.813732	22.756102	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1106
C1107	Ayios Efstratios: Tholos	36.818224	22.756123	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1107
C1108	Vithoulas	36.316627	22.974559	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1108
C1109	Kalamos: Ayia Sophia	36.149503	23.018606	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1109
